Faction,Shared?,Expansion,Title,Technology,Unlock Condition,Timing Window,Payment Type,Cost,Payment Connector,Cost Type,Payment Qualifier,Reward Type,Reward Modifier,Reward Wording,Card Color,Starfield Color,Gradient Color
Li-Zho,,DS,Wraith Engine Research,Wraith Engine,Have a ship in each of 3 non-home systems that are not adjacent to your home system.,At the start of the status phase,spend,4,,resources,,research,,"At the start of the status phase, you may purge this card and spend 4 resources to research your Wraith Engine faction technology.",927442,927442,927442
Li-Zho,,DS,Heavy Bomber Research,Heavy Bomber II,Produce 4 hits with bombardment over the course of the game. (Track this by placing infantry tokens on this card.),At the start of the status phase,spend,2,,resources,,research,,"At the start of the status phase, you may purge this card and spend 2 resources to research your Heavy Bomber II faction technology.",927442,927442,927442
Mirveda,,DS,Gauss Cannon Research,Gauss Cannon II,Have a PDS in each of 3 systems.,At the start of the status phase,spend,4,,resources,,research,,"At the start of the status phase, you may purge this card and spend 4 resources to research your Gauss Cannon II faction technology.",92425e,92425e,92425e
Mirveda,,DS,Defense Grid Research,Orbital Defense Grid,Have a command token in each of 4 systems that contain a planet you control.,At the start of the status phase,spend,4,,resources,,research,,"At the start of the status phase, you may purge this card and spend 4 resources to research your Orbital Defense Grid faction technology.",92425e,92425e,92425e
Myko,,DS,Psychoactive Research,Psychoactive Armaments,Use your 'Divination' faction ability 6 times over the course of the game. (Track this by placing trade good tokens on this card.),At the start of the status phase,spend,4,,resources,,research,,"At the start of the status phase, you may purge this card and spend 4 resources to research your Psychoactive Armaments faction technology.",924275,924275,924275
Myko,,DS,Mycelium Research,Mycelium Ring II,Use the DEPLOY ability of your space docks 2 times over the course of the game. (Track this by placing infantry tokens on this card.),At the start of the status phase,spend,2,,resources,,research,,"At the start of the status phase, you may purge this card and spend 2 resources to research your Mycelium Ring II faction technology.",924275,924275,924275
Nivyn,,DS,Voidwake Research,Voidwake Missiles,Have 5 of your units become damaged over the course of the game. (Track this by placing fighter tokens on this card.),At the start of the status phase,spend,2,,resources,,research,,"At the start of the status phase, you may purge this card and spend 2 resources to research your Voidwake Missiles faction technology.",767676,767676,767676
Nivyn,,DS,Voidflare Research,Voidflare Warden II,Have a mech in each of 4 systems that contain or are adjacent to the wound token.,At the start of the status phase,spend,2,,resources,,research,,"At the start of the status phase, you may purge this card and spend 2 resources to research your Voidflare Warden II faction technology.",767676,767676,767676
Olradin,,DS,False Research,False Flag Operations,Have 10 planets you control become exhausted over the course of the game. (Track this by placing trade good tokens on this card.),At the start of the status phase,spend,4,,resources,,research,,"At the start of the status phase, you may purge this card and spend 4 resources to research your False Flag Operations faction technology.",aea345,aea345,aea345
Olradin,,DS,Geosympathic Research,Geosympathic Impeller,Control 2 planets of each trait.,At the start of the status phase,spend,2,,resources,,research,,"At the start of the status phase, you may purge this card and spend 2 resources to research your Geosympathic Impeller faction technology.",aea345,aea345,aea345
Cymiae,,DS,Abomination Research,Unholy Abomination II,Purge 5 total action cards over the course of the game. (Track this by placing the purged action cards under this card.),At the start of the status phase,spend,3,,resources,,research,,"At the start of the status phase, you may purge this card and spend 3 resources to research your Unholy Abomination II faction technology.",464646,464646,464646
Cymiae,,DS,Recursion Research,Recursive Worm,Use the Primary Ability of the Diplomacy Strategy card.,At the start of the status phase,spend,5,,resources,,research,,"At the start of the status phase, you may purge this card and spend 5 resources to research your Recursive Worm faction technology.",464646,464646,464646
Axis,,DS,Rift Research,Rift Engines,Have 8 non-fighter ships that are not in or adjacent to your home system.,At the start of the status phase,remove,2, of your ,non-fighter ships,from the game board and return them to your reinforcements ,research,,"At the start of the status phase, you may purge this card and remove 2 of your  non-fighter ships from the game board and return them to your reinforcements to research your Rift Engines faction technology.",945f3e,945f3e,945f3e
Axis,,DS,Deployment Research,Emergency Deployment,Place 5 structures on the game board over the course of the game. (Track this by placing trade good tokens on this card.),At the start of the status phase,spend,4,,resources,,research,,"At the start of the status phase, you may purge this card and spend 4 resources to research your Emergency Deployment faction technology.",945f3e,945f3e,945f3e
Tnelis,,DS,Daedalon Research,Daedalon Flight System,Win 2 different space combats in systems that contain your mechs over the course of the game. (Track this by placing fighter tokens on this card.),At the start of the status phase,spend,2,,resources,,research,,"At the start of the status phase, you may purge this card and spend 2 resources to research your Daedalon Flight System faction technology.",a1863e,a1863e,a1863e
Tnelis,,DS,Blockade Research,Blockade Runner II,Use the deploy ability of your mechs 3 times over the course of the game. (Track this by placing infantry tokens on this card.),At the start of a space combat,spend,4,,resources,,research,,"At the start of a space combat, you may purge this card and spend 4 resources to research your Blockade Runner II faction technology.",a1863e,a1863e,a1863e
Vaden,,DS,Midas Turbine Research,Midas Turbine,Have 4 control tokens on your faction sheet.,At the start of the status phase,spend,4,,trade goods,,research,,"At the start of the status phase, you may purge this card and spend 4 trade goods to research your Midas Turbine faction technology.",3ea157,3ea157,3ea157
Vaden,,DS,Krovoz Research,Krovoz Strike Teams,Destroy another player's unit with SUSTAIN DAMAGE.,At the start of the status phase,spend,5,,influence,,research,,"At the start of the status phase, you may purge this card and spend 5 influence to research your Krovoz Strike Teams faction technology.",3ea157,3ea157,3ea157
Vaylerian,,DS,Scavenger Research,Scavenger Exos,Discard 2 action cards using your 'Scour' ability over the course of the game. (Track this by placing infantry tokens on this card.),At the start of the status phase,spend,4,,influence,,research,,"At the start of the status phase, you may purge this card and spend 4 influence to research your Scavenger Exos faction technology.",3da09b,3da09b,3da09b
Vaylerian,,DS,Raider Research,Raider II,Win 3 combats in systems that contain your cruisers over the course of the game. (Track this by placing fighter tokens on this card.),At the start of the status phase,spend,2,,resources,,research,,"At the start of the status phase, you may purge this card and spend 2 resources to research your Raider II faction technology.",3da09b,3da09b,3da09b
Veldyr,,DS,SEIDR Research,SEIDR Project,Produce 3 hits with your units' SPACE CANNON ability over the course of the game. (Track this by placing fighter tokens on this card.),At the start of the status phase,spend,4,,influence,,research,,"At the start of the status phase, you may purge this card and spend 4 influence to research your SEIDR Project faction technology.",48a8b5,48a8b5,48a8b5
Veldyr,,DS,Lancer Research,Lancer Dreadnought II,Have 7 units with SPACE CANNON on the game board.,At the start of the status phase,spend,4,,resources,,research,,"At the start of the status phase, you may purge this card and spend 4 resources to research your Lancer Dreadnought II faction technology.",48a8b5,48a8b5,48a8b5
Rhodun,,DS,Santification Research,Sanctification Field,Own at least 3 technologies that are owned by your neighbors.,At the start of the status phase,spend,6,,influence,,research, ignoring 1 prerequisite,"At the start of the status phase, you may purge this card and spend 6 influence to research your Sanctification Field faction technology ignoring 1 prerequisite.",483fa2,483fa2,483fa2
Rhodun,,DS,Beacon Research,Pilgrimage Beacons,Have at least 1 unit in or adjacent to each of 5 systems that contain a technology specialty planet.,At the start of the status phase,spend,2,,resources,,research,,"At the start of the status phase, you may purge this card and spend 2 resources to research your Pilgrimage Beacons faction technology.",483fa2,483fa2,483fa2
Zelian,,DS,Shard Volley Research,Shard Volley,Have 4 non-infantry units with BOMBARDMENT on the game board.,At the start of the status phase,spend,4,,resources,,research,,"At the start of the status phase, you may purge this card and spend 4 resources to research your Shard Volley faction technology.",a46641,a46641,a46641
Zelian,,DS,Impactor Research,Impactor II,Have 14 units with BOMBARDMENT on the game board.,At the start of the status phase,spend,2,,influence,,research,,"At the start of the status phase, you may purge this card and spend 2 influence to research your Impactor II faction technology.",a46641,a46641,a46641
Titans,,PoK,Hel Titan Research,Hel Titan II,Have no Sleeper Tokens in your reinforcements.,At the start of the status phase,remove,3,,sleeper tokens,from the game board and return them to your reinforcements ,research,,"At the start of the status phase, you may purge this card and remove 3 sleeper tokens from the game board and return them to your reinforcements to research your Hel Titan II faction technology.",be6498,be6498,be6498
Titans,,PoK,Saturn Engine Research,Saturn Engine II,Have a cruiser in each of 5 different systems.,At the start of the status phase,remove,3, of your ,cruisers,from the game board and return them to your reinforcements ,research,,"At the start of the status phase, you may purge this card and remove 3 of your  cruisers from the game board and return them to your reinforcements to research your Saturn Engine II faction technology.",be6498,be6498,be6498
Jol-Nar,,Base,Spatial Conduit Research,Spatial Conduit Cylinders,Have a unit in each of 3 systems that contain or are adjacent to a wormhole or gravity rift.,At the start of the status phase,spend,5,,resources,,research,,"At the start of the status phase, you may purge this card and spend 5 resources to research your Spatial Conduit Cylinders faction technology.",8c3fa2,8c3fa2,8c3fa2
Jol-Nar,,Base,E-Ris Research,E-Ris Siphons,Have another player activate systems containing your ships 2 times over the course of the game. (Track this by placing other player's place their control tokens on this card.),At the start of the status phase,spend,5,,influence,,research,,"At the start of the status phase, you may purge this card and spend 5 influence to research your E-Ris Siphons faction technology.",8c3fa2,8c3fa2,8c3fa2
Vuil'Raith,,PoK,Dimensional Research,Dimensional Tear II,Have at least 4 non-fighter ships in each of 3 systems that contain gravity rifts.,At the start of the status phase,spend,2,,resources,,research,,"At the start of the status phase, you may purge this card and spend 2 resources to research your Dimensional Tear II faction technology.",c04040,c04040,c04040
Vuil'Raith,,PoK,Vortex Research,Vortex,Have at least 3 captured non-fighter ships.,At the start of the status phase,spend,4,,resources,,research,,"At the start of the status phase, you may purge this card and spend 4 resources to research your Vortex faction technology.",c04040,c04040,c04040
Winnu,,Base,Gate Folding Research,Lazax Gate Folding,Have at least 1 unit in a system that contains a wormhole and at least 1 unit in or adjacent to Mecatol Rex.,At the start of the status phase,spend,3,,influence,,research,,"At the start of the status phase, you may purge this card and spend 3 influence to research your Lazax Gate Folding faction technology.",a23f99,a23f99,a23f99
Winnu,,Base,Hegemonic Research,Hegemonic Trade Policy,Control at least 3 planets whose influence value is greater than its resource value.,At the start of the status phase,spend,4,,influence,,research,,"At the start of the status phase, you may purge this card and spend 4 influence to research your Hegemonic Trade Policy faction technology.",a23f99,a23f99,a23f99
Xxcha,,Base,Nullification Research,Nullification Field,Have a number of other players command tokens equal to 1 more than the total number of other players in systems that contain your units.,At the start of the status phase,spend,6,,influence,,research,,"At the start of the status phase, you may purge this card and spend 6 influence to research your Nullification Field faction technology.",408e40,408e40,408e40
Xxcha,,Base,Instinct Research,Instinct Training,"Have 2 total action cards played that target you, your units, a planet you control, agenda you own, or any component in your play area over the course of the game. (Track this by placing trade good tokens on this card.)",At the start of the status phase,spend,5,,influence,,research,,"At the start of the status phase, you may purge this card and spend 5 influence to research your Instinct Training faction technology.",408e40,408e40,408e40
Yin,,Base,Impulse Core Research,Impulse Core,Use a faction ability 3 times over the course of the game. (Track this by placing control markers on this card.),At the start of the status phase,spend,1,,influence,,research,,"At the start of the status phase, you may purge this card and spend 1 influence to research your Impulse Core faction technology.",747474,747474,747474
Yin,,Base,Spinner Research,Yin Spinner,Win 2 ground combats over the course of the game. (Track this by placing control markers on this card.),At the start of the status phase,spend,4,,resources,,research,,"At the start of the status phase, you may purge this card and spend 4 resources to research your Yin Spinner faction technology.",747474,747474,747474
Yssaril,,Base,Mageon Research,Mageon Implants,Use 7 action cards over the course of the game. (Track this by placing trade good tokens on this card.),At the start of the status phase,discard,4,,action cards,from your hand ,research,,"At the start of the status phase, you may purge this card and discard 4 action cards from your hand to research your Mageon Implants faction technology.",426f3f,426f3f,426f3f
Yssaril,,Base,Transparasteel Research,Transparasteel Plating,Be the last player to pass twice. (Mark this with a control token.),At the start of the status phase,discard,2,,action cards,from your hand ,research,,"At the start of the status phase, you may purge this card and discard 2 action cards from your hand to research your Transparasteel Plating faction technology.",426f3f,426f3f,426f3f
Crimson,,TE,Subatomic Research,Subatomic Splicer,Have a unit in or adjacent to each of 5 systems that contain or are adjacent to a wormhole.,At the start of the status phase,spend,4,,resources,,research,,"At the start of the status phase, you may purge this card and spend 4 resources to research your Subatomic Splicer faction technology.",c32027,c32027,c32027
Crimson,,TE,Exile Research,Exile II,Have a unit in or adjacent to each of 4 systems that contain a breach token.,At the start of the status phase,remove,1,,breach token,from the game board ,research,,"At the start of the status phase, you may purge this card and remove 1 breach token from the game board to research your Exile II faction technology.",c32027,c32027,c32027
Deepwrought,,TE,Radical Research,Radical Advancement,Own a technology of each color and a unit upgrade technology.,At the end of the status phase,return,1,,non-unit upgrade technology,to your technology deck ,research,,"At the end of the status phase, you may purge this card and return 1 non-unit upgrade technology to your technology deck to research your Radical Advancement faction technology.",16243d,16243d,16243d
Deepwrought,,TE,Hydrothermal Research,Hydrothermal Mining,Control 4 oceans.,At the start of the status phase,remove,all,,of your ground forces on a planet in which you are coexisting,to your reinforcements ,research,,"At the start of the status phase, you may purge this card and remove all of your ground forces on a planet in which you are coexisting to your reinforcements to research your Hydrothermal Mining faction technology.",16243d,16243d,16243d
Firmament,,TE,Plane Research,Plane Splitter,Control planets with technology specialties that match a breakthrough in a player's play area.,At the end of the status phase,exhaust,1,,planet,in your play area with a technology specialty ,gain,,"At the end of the status phase, you may purge this card and exhaust 1 planet in your play area with a technology specialty to gain your Plane Splitter faction technology.",191a43,191a43,191a43
Firmament,,TE,Parasite Research,Neural Parasite,Have 10 other players' infantry in or adjacent to systems that contain your units.,At the start of the status phase,remove,2,,or your infantry,from the game board ,gain,,"At the start of the status phase, you may purge this card and remove 2 or your infantry from the game board to gain your Neural Parasite faction technology.",191a43,191a43,191a43
Bastion,Y,TE,Proxima Research,Proxima Targeting IV,Destroy another player's unit as the result of a unit ability roll.,At the start of the status phase,spend,3,,resources,,research,,"At the start of the status phase, you may purge this card and spend 3 resources to research your Proxima Targeting IV faction technology.",b55919,b55919,b55919
Bastion,Y,TE,Helios Research,"4X41C ""HELIOS"" V2",Control 2 planets with at least 3 resources.,At the end of the status phase,exhaust,1,,of your planets,with at least 3 resources ,research,,"At the end of the status phase, you may purge this card and exhaust 1 of your planets with at least 3 resources to research your 4X41C ""HELIOS"" V2 faction technology.",b55919,b55919,b55919
Ral Nel,,TE,Linkship Research,Linkship II,Have 3 destroyers use the SPACE CANNON ability of PDS units against another player's units.,At the start of the status phase,remove,3,,of your destroyers,from the game board ,research,,"At the start of the status phase, you may purge this card and remove 3 of your destroyers from the game board to research your Linkship II faction technology.",40af37,40af37,40af37
Ral Nel,,TE,Nanomachines Research,Nanomachines,Have units in a system that contains another player's PDS.,At the end of the status phase,remove,1,,"of your PDS from the game board, damage 3 of your units with SUSTAIN DAMAGE, and discard 1 action card",,research,,"At the end of the status phase, you may purge this card and remove 1 of your PDS from the game board, damage 3 of your units with SUSTAIN DAMAGE, and discard 1 action card to research your Nanomachines faction technology.",40af37,40af37,40af37
Firmament,,New Dawn,Dragon Research,The Dragon. Chained,Control a planet in the fracture.,At the start of the status phase,spend,4,,resources,,gain ,,"At the start of the status phase, you may purge this card and spend 4 resources to gain  your The Dragon. Chained faction technology.",191a43,191a43,191a43
Creuss,,New Dawn,Ahk Research,Ahk Syl Fier II,Have a cruiser in each of 4 systems with a wormhole.,At the start of the status phase,spend,3,,resources,,research,,"At the start of the status phase, you may purge this card and spend 3 resources to research your Ahk Syl Fier II faction technology.",0059fa,0059fa,0059fa
Jol-Nar,,New Dawn,War Sun Research,War Sun Project,Produce a War Sun.,At the start of the status phase,spend,4,,resources,,research,,"At the start of the status phase, you may purge this card and spend 4 resources to research your War Sun Project faction technology.",8c3fa2,8c3fa2,8c3fa2
Yssaril,,New Dawn,Guild Agent Research,Guild Agent II,Win a ground combat.,At the start of the status phase,spend,6,,influence,,research,,"At the start of the status phase, you may purge this card and spend 6 influence to research your Guild Agent II faction technology.",426f3f,426f3f,426f3f
Winnu,,New Dawn,Justice Research,Justice Rail II,Have a PDS in each of 3 systems.,At the start of the status phase,spend,3,,influence,,research,,"At the start of the status phase, you may purge this card and spend 3 influence to research your Justice Rail II faction technology.",a23f99,a23f99,a23f99
Naaz-Rhoka,,New Dawn,Morphwing Research,Morphwing II,Win a space combat and a ground combat with a mech that participated in both combats in the same tactical action.,At the start of the status phase,spend,4,,resources,,research,,"At the start of the status phase, you may purge this card and spend 4 resources to research your Morphwing II faction technology.",295426,295426,295426
Empyrean,,New Dawn,Triune Research,Triune II,Use a mech to cancel an action card.,At the start of the status phase,discard,3,,action cards,from your hand ,research,,"At the start of the status phase, you may purge this card and discard 3 action cards from your hand to research your Triune II faction technology.",823ebe,823ebe,823ebe
Keleres,,New Dawn,Saggitaria Research,Saggitaria II,Have 5 units with SUSTAIN DAMAGE on the game board.,At the start of the status phase,spend,4,,influence,,research,,"At the start of the status phase, you may purge this card and spend 4 influence to research your Saggitaria II faction technology.",7e207b,7e207b,7e207b
Yin,,New Dawn,Clone Research,Yin Clone II,Have 10 infantry on a planet.,At the start of the status phase,spend,4,,influence,,research,,"At the start of the status phase, you may purge this card and spend 4 influence to research your Yin Clone II faction technology.",747474,747474,747474
Xxcha,,New Dawn,Keeper Research,Keeper Matrix II,Have 6 units with SPACE CANNON on the game board.,At the start of the status phase,spend,5,,influence,,research,,"At the start of the status phase, you may purge this card and spend 5 influence to research your Keeper Matrix II faction technology.",408e40,408e40,408e40
Vuil'raith,,New Dawn,Vortexer Research,Vortexer II,Have 8 combined captured infantry and/or fighters.,At the start of the status phase,spend,3,,resources,,research,,"At the start of the status phase, you may purge this card and spend 3 resources to research your Vortexer II faction technology.",c04040,c04040,c04040
Letnev,,New Dawn,Dawncrusher Research,Dawncrusher II,Win a space combat in which at least 3 of your ships with SUSTAIN DAMAGE participated.,At the start of the status phase,spend,5,,resources,,research,,"At the start of the status phase, you may purge this card and spend 5 resources to research your Dawncrusher II faction technology.",3d3d3d,3d3d3d,3d3d3d
Hacan,,New Dawn,Production Research,Production Biomes II,Have at least 6 non-fighter ships in a system that contains 1 of your space docks.,At the start of the status phase,spend,2,,command tokens,from your strategy pool ,research,,"At the start of the status phase, you may purge this card and spend 2 command tokens from your strategy pool to research your Production Biomes II faction technology.",fed600,fed600,fed600
Atokera,,BR,Mirrorshard Research,Mirrorshard II,Produce 4 units in a system that contains no space docks.,At the start of the status phase,spend,5,,influence,,research,,"At the start of the status phase, you may purge this card and spend 5 influence to research your Mirrorshard II faction technology.",b7ae63,46800b,46800b
Atokera,,BR,Modular Research,Modular Designs,Have 12 units with a unit ability on the game board and have units with at least 4 different unit abilities on the game board.,At the start of the status phase,spend,3,,resources,,research,,"At the start of the status phase, you may purge this card and spend 3 resources to research your Modular Designs faction technology.",b7ae63,46800b,46800b
Belkosea,,BR,Wyvern Research,Wyvern II,Win 2 combats in the same action in which at least 4 of your fighters participated.,At the start of the status phase,spend,4,,resources,,research,,"At the start of the status phase, you may purge this card and spend 4 resources to research your Wyvern II faction technology.",124396,FFFFFF,124396
Belkosea,,BR,Matrix Research,Synchrony Matrix,"Have 11 exhausted non-technology, non-strategy cards in your play area.",At the start of the status phase,exhaust,1,,superweapon,,research,,"At the start of the status phase, you may purge this card and exhaust 1 superweapon to research your Synchrony Matrix faction technology.",124396,FFFFFF,124396
Kaltrim,,BR,Consulate Research,Consulate II,Have a PDS on a planet adjacent to a system that contains a shrine.,At the start of the status phase,spend,4,,influence,,research,,"At the start of the status phase, you may purge this card and spend 4 influence to research your Consulate II faction technology.",7ed285,7ed285,7ed285
Kaltrim,,BR,Kaldur Research,Kaldur Arrest Field,Have a structure in 3 systems.,At the start of the status phase,spend,3,,influence,,research,,"At the start of the status phase, you may purge this card and spend 3 influence to research your Kaldur Arrest Field faction technology.",7ed285,7ed285,7ed285
Pharad'n,,BR,Immortal Research,Immortal II,There are 6 purged tomb tokens.,At the start of the status phase,return,3,,captured infantry,,research,,"At the start of the status phase, you may purge this card and return 3 captured infantry to research your Immortal II faction technology.",906232,906232,906232
Pharad'n,,BR,Reality-Field Research,Reality-Field Impactor,Have at least 4 infantry in each of 3 systems that contain or are adjacent to anamolies.,At the start of the status phase,spend,3,,resources,,research,,"At the start of the status phase, you may purge this card and spend 3 resources to research your Reality-Field Impactor faction technology.",906232,906232,906232
Qhet,,BR,Commando Research,Commando II,Have 3 control tokens on your faction sheet.,At the start of the status phase,discard,2,,control tokens,from your faction sheet ,research,,"At the start of the status phase, you may purge this card and discard 2 control tokens from your faction sheet to research your Commando II faction technology.",939393,5d3caa,5d3caa
Qhet,,BR,Battlecruiser Research,Battlecruiser II,Have a unit with ANTI-FIGHTER BARRAGE in each of 5 systems adjacent to another player's ships.,At the start of the status phase,remove,1,of your ,ships,from each of 3 systems adjacent to another player's ships ,research,,"At the start of the status phase, you may purge this card and remove 1of your  ships from each of 3 systems adjacent to another player's ships to research your Battlecruiser II faction technology.",939393,5d3caa,5d3caa
Sarcosa,,BR,Ravager Research,Ravager II,Deploy 3 destroyers over the course of the game. (Track this by placing fighters on this card.),At the start of the status phase,spend,4,,resources,,research,,"At the start of the status phase, you may purge this card and spend 4 resources to research your Ravager II faction technology.",e2786a,458c97,458c97
Sarcosa,,BR,Infiltration Research,Infiltration Networks,Have units in coexistence on each of at least 3 planets.,At the start of the status phase,spend,3,,trade goods,,research,,"At the start of the status phase, you may purge this card and spend 3 trade goods to research your Infiltration Networks faction technology.",e2786a,458c97,458c97
Uydai,,BR,Messiah Research,Messiah Protocols,Have 8 path tokens on your faction sheet.,At the start of the status phase,spend,4,,path tokens,,research,,"At the start of the status phase, you may purge this card and spend 4 path tokens to research your Messiah Protocols faction technology.",407987,407987,407987
Uydai,,BR,Navigation Research,Navigation Relays,Have a unit in each of 5 systems that contain 1 of your command tokens.,At the start of the status phase,spend,3,,resources,,research,,"At the start of the status phase, you may purge this card and spend 3 resources to research your Navigation Relays faction technology.",407987,407987,407987
Xin,,BR,Astromantic Research,Astromantic Cloak,Have 5 balance tokens with the star side faceup.,At the start of the status phase,spend,4,,resources,,research,,"At the start of the status phase, you may purge this card and spend 4 resources to research your Astromantic Cloak faction technology.",c54a90,3c5671,3c5671
Xin,,BR,Veiled Research,Veiled Networking,Have 5 balance tokens with the steel side faceup.,At the start of the status phase,spend,4,,influence,,research,,"At the start of the status phase, you may purge this card and spend 4 influence to research your Veiled Networking faction technology.",c54a90,3c5671,3c5671
Toldar,,BR,Emergency Research,Emergency Modifications,Have 3 honor or 3 dishonor.,At the start of the status phase,remove,1,of your ,ships with capcaity,from the game board ,research,,"At the start of the status phase, you may purge this card and remove 1of your  ships with capcaity from the game board to research your Emergency Modifications faction technology.",8e572e,8e572e,8e572e
Toldar,,BR,V.I.R. Research,V.I.R. Training,Produce at least 3 more hits than your opponent during a round of combat.,At the start of the status phase,spend,3,,resources,,research,,"At the start of the status phase, you may purge this card and spend 3 resources to research your V.I.R. Training faction technology.",8e572e,8e572e,8e572e